Time,M1_RR,M2_RL,M3_FR,M4_FL,V_batt,Theta,Phi,Psi,PosX,PosY,BaroAlt,LidarPulse,SetX,SetZ,SetY,SetYaw
0.000,184.0,186.0,181.0,181.0,10.46,0.000,0.000,0.000,0.00000,0.00000,0.000,0.0,0.000,0.000,5.000,0.000
0.010,182.0,188.0,179.0,184.0,10.46,0.000,0.000,0.000,0.32507,-0.27613,0.011,0.0,0.000,0.000,5.000,0.000
0.020,185.0,186.0,181.0,181.0,10.46,0.000,0.000,0.000,0.32507,-0.27613,0.011,0.0,0.000,0.000,5.000,0.000
0.030,185.0,186.0,181.0,181.0,10.46,0.000,0.000,0.000,0.32507,-0.27613,0.005,0.0,0.000,0.000,5.000,0.000
0.040,182.0,185.0,184.0,184.0,10.46,-0.005,0.001,0.021,0.32507,-0.27613,0.005,0.0,0.000,0.000,5.000,0.000
0.050,185.0,187.0,181.0,181.0,10.46,-0.015,0.005,0.021,0.32507,-0.27613,0.005,0.0,0.000,0.000,5.000,0.000
0.060,208.0,157.0,156.0,208.0,10.46,-0.030,0.009,0.021,0.32507,-0.27613,0.005,0.0,0.000,0.000,5.000,0.000
0.070,132.0,133.0,126.0,127.0,10.46,-0.051,0.014,0.021,0.32507,-0.27613,0.000,0.0,0.000,0.000,5.000,0.000
0.080,225.0,226.0,225.0,226.0,10.46,-0.071,0.020,0.021,0.32507,-0.27613,0.000,0.0,0.000,0.000,5.000,0.000
0.090,164.0,96.0,95.0,155.0,10.46,-0.097,0.026,0.021,0.32507,-0.27613,-0.005,0.0,0.000,0.000,5.000,0.000
0.100,185.0,184.0,178.0,181.0,10.46,-0.124,0.033,0.021,0.32507,-0.27613,-0.011,0.0,0.000,0.000,5.000,0.000
0.110,185.0,180.0,182.0,181.0,10.46,-0.157,0.040,0.021,0.32507,-0.27613,-0.011,0.0,0.000,0.000,5.000,0.000
0.120,204.0,158.0,153.0,209.0,10.45,-0.190,0.047,0.021,0.32507,-0.27613,-0.016,0.0,0.000,0.000,5.000,0.000
0.130,204.0,158.0,153.0,209.0,10.45,-0.228,0.053,0.021,0.32507,-0.27613,-0.016,0.0,0.000,0.000,5.000,0.000
0.140,227.0,225.0,224.0,227.0,10.45,-0.273,0.059,0.021,0.32507,-0.27613,-0.011,0.0,0.000,0.000,5.000,0.000
0.150,181.0,184.0,178.0,186.0,10.45,-0.242,0.026,0.022,0.32507,-0.27613,-0.005,0.0,0.000,0.000,5.000,0.000
0.160,186.0,184.0,178.0,183.0,10.45,-0.102,-0.018,0.021,0.32507,-0.27613,0.000,0.0,0.000,0.000,5.000,0.000
0.170,181.0,184.0,178.0,187.0,10.45,-0.001,-0.013,0.021,0.32507,-0.27613,0.000,0.0,0.000,0.000,5.000,0.000
0.180,184.0,183.0,180.0,185.0,10.45,0.068,-0.001,0.021,0.32507,-0.27613,0.000,0.0,0.000,0.000,5.000,0.000
0.190,186.0,180.0,183.0,183.0,10.45,0.117,0.006,0.021,0.32507,-0.27613,0.005,0.0,0.000,0.000,5.000,0.000
0.200,186.0,185.0,178.0,183.0,10.45,0.152,0.005,0.021,0.32507,-0.27613,0.005,0.0,0.000,0.000,5.000,0.000
0.210,183.0,179.0,183.0,187.0,10.45,0.175,0.003,0.021,0.32507,-0.27613,0.005,0.0,0.000,0.000,5.000,0.000
0.220,185.0,181.0,180.0,185.0,10.45,0.184,0.002,0.021,0.32472,-0.27894,0.005,0.0,0.000,0.000,5.000,0.000
0.230,154.0,210.0,204.0,158.0,10.45,0.182,0.002,0.021,0.32472,-0.27894,0.000,0.0,0.000,0.000,5.000,0.000
0.240,185.0,183.0,180.0,185.0,10.45,0.165,0.002,0.021,0.32472,-0.27894,0.000,0.0,0.000,0.000,5.000,0.000
0.250,156.0,208.0,207.0,157.0,10.45,0.138,0.002,0.021,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.260,184.0,184.0,181.0,185.0,10.45,0.098,0.002,0.021,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.270,184.0,184.0,182.0,185.0,10.45,0.045,0.002,0.021,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.280,208.0,159.0,156.0,208.0,10.45,0.004,-0.001,0.021,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.290,227.0,225.0,224.0,227.0,10.45,-0.011,-0.005,0.022,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.300,134.0,131.0,129.0,134.0,10.44,-0.010,-0.007,0.021,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.310,157.0,209.0,207.0,157.0,10.44,-0.004,-0.004,0.021,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.320,185.0,184.0,182.0,185.0,10.44,0.000,-0.001,0.021,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.330,185.0,184.0,182.0,185.0,10.44,0.003,0.003,0.021,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.340,157.0,209.0,207.0,157.0,10.44,0.002,0.002,0.021,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.350,226.0,226.0,225.0,226.0,10.44,0.001,0.001,0.021,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.360,133.0,133.0,131.0,133.0,10.44,0.000,0.000,0.021,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.370,183.0,183.0,185.0,187.0,10.44,0.000,0.000,0.021,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.380,185.0,185.0,183.0,185.0,10.44,0.000,0.000,0.021,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.390,226.0,226.0,225.0,226.0,10.44,-0.001,0.000,0.021,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.400,133.0,133.0,131.0,135.0,10.44,0.000,0.000,0.021,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.410,185.0,184.0,183.0,186.0,10.44,0.000,0.000,0.021,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.420,229.0,228.0,223.0,225.0,10.43,0.000,0.000,0.021,0.32472,-0.27894,-0.005,0.0,0.000,0.000,5.000,0.000
0.430,162.0,101.0,98.0,163.0,10.43,-0.001,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.440,189.0,186.0,181.0,184.0,10.43,0.000,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.450,159.0,90.0,93.0,154.0,10.43,0.000,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.460,230.0,227.0,222.0,227.0,10.43,-0.006,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.470,192.0,184.0,182.0,183.0,10.43,-0.003,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.480,188.0,184.0,182.0,188.0,10.43,0.000,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.490,209.0,160.0,158.0,209.0,10.43,0.001,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.500,191.0,181.0,183.0,186.0,10.43,-0.005,0.001,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.510,189.0,184.0,182.0,188.0,10.43,-0.017,0.000,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.520,99.0,158.0,157.0,85.0,10.43,-0.031,-0.001,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.530,160.0,211.0,205.0,154.0,10.43,-0.026,-0.001,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.540,228.0,226.0,224.0,228.0,10.43,-0.010,-0.002,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
0.550,130.0,132.0,119.0,129.0,10.43,0.000,-0.001,0.021,0.32473,-0.27898,-0.005,0.0,0.000,0.000,5.000,0.000
