Time,M1_RR,M2_RL,M3_FR,M4_FL,V_Batt,Pitch,Roll,Altitude
0.0000,236.0000,236.0000,232.0000,234.0000,10.0650,0.0000,0.0000,0.0000
0.0100,236.0000,236.0000,232.0000,234.0000,10.0650,0.0000,0.0000,0.2669
0.0200,174.5556,178.2222,174.0000,171.8889,10.0638,0.0000,0.0000,0.2722
0.0300,180.7778,185.1111,181.0000,178.4444,10.0638,0.0000,0.0000,0.2722
0.0400,187.0000,192.0000,188.0000,185.0000,10.0638,-0.0589,0.3904,0.2722
0.0500,187.0000,192.0000,188.0000,184.0000,10.0637,-0.0521,0.3955,0.2722
0.0600,187.3333,191.7778,187.7778,184.2222,10.0637,-0.0454,0.4022,0.2722
0.0700,187.6667,191.5556,187.5556,184.4444,10.0636,-0.0382,0.4108,0.2722
0.0800,188.0000,191.3333,187.3333,184.6667,10.0636,-0.0296,0.4213,0.2722
0.0900,188.3333,191.1111,187.1111,184.8889,10.0636,-0.0208,0.4330,0.2722
0.1000,188.6667,190.8889,186.8889,185.1111,10.0635,-0.0120,0.4454,0.2722
0.1100,189.0000,190.6667,186.6667,185.3333,10.0635,-0.0032,0.4587,0.2722
0.1200,189.3333,190.4444,186.4444,185.5556,10.0635,0.0055,0.4727,0.2722
0.1300,189.6667,190.2222,186.2222,185.7778,10.0634,0.0139,0.4872,0.2722
0.1400,187.6667,191.5556,187.5556,184.4444,10.0633,0.0219,0.5022,0.2722
0.1500,188.0000,191.3333,187.3333,184.6667,10.0633,0.0294,0.5176,0.2722
0.1600,188.3333,191.1111,187.1111,184.8889,10.0632,0.0363,0.5331,0.2722
0.1700,188.6667,190.8889,186.8889,185.1111,10.0632,0.0424,0.5488,0.2722
0.1800,189.0000,190.6667,186.6667,185.3333,10.0631,0.0485,0.5652,0.2774
0.1900,189.3333,190.4444,186.4444,185.5556,10.0630,0.0544,0.5824,0.2774
0.2000,189.6667,190.2222,186.2222,185.7778,10.0630,0.0602,0.6000,0.2774
0.2100,190.0000,190.0000,186.0000,186.0000,10.0629,0.0654,0.6182,0.2774
0.2200,125.0000,131.0000,128.0000,120.0000,10.0628,0.0702,0.6367,0.2774
0.2300,137.3333,142.6667,139.7778,132.5556,10.0628,0.0743,0.6554,0.2774
0.2400,149.6667,154.3333,151.5556,145.1111,10.0628,0.0778,0.6742,0.2774
0.2500,162.0000,166.0000,163.3333,157.6667,10.0628,0.0803,0.6930,0.2774
0.2600,174.3333,177.6667,175.1111,170.2222,10.0628,0.0806,0.7102,0.2774
0.2700,186.6667,189.3333,186.8889,182.7778,10.0628,0.0790,0.7256,0.2774
0.2800,199.0000,201.0000,198.6667,195.3333,10.0627,0.0763,0.7393,0.2774
0.2900,211.3333,212.6667,210.4444,207.8889,10.0627,0.0729,0.7513,0.2722
0.3000,223.6667,224.3333,222.2222,220.4444,10.0627,0.0697,0.7618,0.2722
0.3100,236.0000,236.0000,234.0000,233.0000,10.0627,0.0674,0.7706,0.2722
0.3200,131.0000,125.0000,120.0000,126.0000,10.0618,0.0668,0.7778,0.2774
0.3300,137.6667,131.6667,126.7778,132.7778,10.0618,0.0687,0.7836,0.2774
0.3400,144.3333,138.3333,133.5556,139.5556,10.0618,0.0745,0.7879,0.2774
0.3500,151.0000,145.0000,140.3333,146.3333,10.0618,0.0848,0.7910,0.2774
0.3600,157.6667,151.6667,147.1111,153.1111,10.0618,0.0912,0.7941,0.2774
0.3700,164.3333,158.3333,153.8889,159.8889,10.0618,0.0939,0.7971,0.2774
0.3800,171.0000,165.0000,160.6667,166.6667,10.0618,0.0930,0.8003,0.2774
0.3900,177.6667,171.6667,167.4444,173.4444,10.0618,0.0890,0.8035,0.2774
