time,RR,RL,FR,FL,PITCH,ROLL,YAW,U_X_FB,U_Y_FB,BARO_ALT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.07,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.08,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.09,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.11,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.13,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.14,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.16,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.17,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.18,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19,0,0,0,0,0,0,0,0.324358284,-0.277792692,-0.005284639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
