Time,M1,M2,M3,M4,Pitch,Roll,Yaw,PosX,PosY,Altitude
0.000,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.32507,-0.27613,0.011
0.010,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.32507,-0.27613,0.005
0.020,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.32507,-0.27613,0.005
0.030,0.0,0.0,0.0,0.0,0.000,0.000,0.021,0.32507,-0.27613,0.000
0.040,0.0,0.0,0.0,0.0,0.000,0.000,0.021,0.32507,-0.27613,0.000
0.050,0.0,0.0,0.0,0.0,0.000,0.000,0.021,0.32507,-0.27613,-0.005
0.060,0.0,0.0,0.0,0.0,0.000,0.000,0.021,0.32507,-0.27613,-0.005
0.070,0.0,0.0,0.0,0.0,0.011,-0.003,0.050,0.32507,-0.27613,-0.005
0.080,0.0,0.0,0.0,0.0,-0.005,0.002,0.036,0.32507,-0.27613,-0.005
0.090,0.0,0.0,0.0,0.0,-0.004,0.000,0.036,0.32507,-0.27613,-0.005
0.100,0.0,0.0,0.0,0.0,-0.001,-0.001,0.036,0.32507,-0.27613,-0.005
0.110,0.0,0.0,0.0,0.0,0.001,0.000,0.036,0.32507,-0.27613,-0.005
0.120,0.0,0.0,0.0,0.0,0.001,0.000,0.036,0.32507,-0.27613,-0.005
0.130,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32507,-0.27613,-0.005
0.140,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32507,-0.27613,-0.005
0.150,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32507,-0.27613,-0.005
0.160,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32507,-0.27613,-0.005
0.170,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32507,-0.27613,-0.005
0.180,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32507,-0.27613,-0.005
0.190,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32507,-0.27613,-0.005
0.200,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32507,-0.27613,-0.005
0.210,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.220,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.230,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.240,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.250,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.260,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.270,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.280,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.290,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.300,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.310,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.320,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.330,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.340,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.350,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.360,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.370,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.380,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.390,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.400,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.410,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.420,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.430,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.440,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.450,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.460,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.470,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.480,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.490,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.500,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.510,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.520,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.530,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.540,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.550,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.560,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.570,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.580,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.590,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.600,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.610,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.620,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.630,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.640,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.650,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.660,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.670,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.680,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.690,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.700,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.710,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.720,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.730,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.740,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.750,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.760,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.770,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.780,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.790,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.800,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.810,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.820,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.830,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.840,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.850,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.860,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.870,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.880,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.890,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.900,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.910,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.920,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.930,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.940,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.950,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.960,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.970,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.980,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
0.990,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
1.000,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
1.010,0.0,0.0,0.0,0.0,0.000,0.000,0.036,0.32436,-0.27779,-0.005
